cardnumber,name,cardtype,setfolder,imgname,set,entrancecost,handcost,symbol,combath,supporth,combati,supporti,attribute,effect,jutsucost,rarity,flavor
EX001,EX001,Promo (Needs Type),promos,ex001.webp,Promos,0,0,['Fire'],,,,,,,,Common,
EX002,EX002,Promo (Needs Type),promos,ex002.webp,Promos,0,0,['Fire'],,,,,,,,Common,
M621,M621,Mission,promos,m621.webp,Promos,0,0,['Fire'],,,,,,,,Common,
M622,M622,Mission,promos,m622.webp,Promos,0,0,['Fire'],,,,,,,,Common,
M623,M623,Mission,promos,m623.webp,Promos,0,0,['Fire'],,,,,,,,Common,
MUS049,MUS049,Mission,promos,mus049.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N086AE,N086AE,Ninja,promos,n086ae.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N124AE,N124AE,Ninja,promos,n124ae.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N140A,N140A,Ninja,promos,n140a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N145,N145,Ninja,promos,n145.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N146,N146,Ninja,promos,n146.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N146A,N146A,Ninja,promos,n146a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N163A,N163A,Ninja,promos,n163a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N168,N168,Ninja,promos,n168.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N168A,N168A,Ninja,promos,n168a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N170A,N170A,Ninja,promos,n170a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N187A,N187A,Ninja,promos,n187a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N224,N224,Ninja,promos,n224.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N270A,N270A,Ninja,promos,n270a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N295A,N295A,Ninja,promos,n295a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N311,N311,Ninja,promos,n311.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N311A,N311A,Ninja,promos,n311a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N324,N324,Ninja,promos,n324.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N324A,N324A,Ninja,promos,n324a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N370,N370,Ninja,promos,n370.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N372,N372,Ninja,promos,n372.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N419A,N419A,Ninja,promos,n419a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N453,N453,Ninja,promos,n453.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N461E,N461E,Ninja,promos,n461e.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N465A,N465A,Ninja,promos,n465a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N473,N473,Ninja,promos,n473.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N480,N480,Ninja,promos,n480.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N480A,N480A,Ninja,promos,n480a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N495,N495,Ninja,promos,n495.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N524A,N524A,Ninja,promos,n524a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
N531A,N531A,Ninja,promos,n531a.webp,Promos,0,0,['Fire'],,,,,,,,Common,
